Open Date,Net P&L,Net ROI
2025-05-30,-587.5,-0.00054956
2025-05-30,1254.0,0.00133386
2025-05-30,577.5,0.00040945
2025-05-30,-550.0,-0.00116959
2025-05-30,-567.0,-0.00049143
2025-06-02,-583.0,-0.00062113
2025-06-02,-577.5,-0.00041051
2025-06-02,584.0,0.00085696
2025-06-02,-578.0,-0.00039878
2025-06-02,-541.5,-0.00066814
2025-06-03,-660.0,-0.00127555
2025-06-03,-882.0,-0.00113468
2025-06-03,555.5,0.00116843
2025-06-03,567.0,0.00093861
2025-06-03,576.0,0.00111078
2025-06-04,584.0,0.00084103
2025-06-04,-577.5,-0.00024165
2025-06-04,-540.0,-0.00013797
2025-06-04,1110.0,0.00127724
2025-06-04,624.0,0.00027599
2025-06-04,-558.0,-0.00020688
2025-06-04,-55.0,-0.0001264
2025-06-05,562.5,0.00086079
2025-06-05,-577.5,-0.00037848
2025-06-05,594.0,0.00113407
2025-06-06,552.5,0.00097383
2025-06-06,1102.5,0.00120468
2025-06-06,-563.5,-0.00056243
2025-06-06,1767.0,0.00065384
2025-06-06,-583.0,-0.00060692
2025-06-06,621.0,0.0006196
2025-06-06,-587.5,-0.00053944
2025-06-06,510.0,0.00039006
2025-06-06,1776.0,0.00036687
2025-06-09,576.0,0.00110318
2025-06-09,-712.5,-0.00108924
2025-06-09,-574.0,-0.00032093
2025-06-09,1200.0,0.00110157
2025-06-09,986.0,0.00077961
2025-06-09,-551.0,-0.00021767
2025-06-10,622.5,0.00017169
2025-06-10,1500.0,0.0003432
2025-06-11,-573.5,-0.00035234
2025-06-11,-525.0,-0.00079545
2025-06-11,-562.5,-0.00010225
2025-06-11,-570.0,-0.00017035
2025-06-11,517.0,0.00053391
2025-06-11,377.0,0.00014757
2025-06-11,1485.0,0.00037494
2025-06-12,-702.0,-0.00133688
2025-06-12,-575.0,-0.00052589
2025-06-13,576.0,0.00073647
2025-06-13,579.5,0.00070173
2025-06-13,-561.0,-0.00019559
2025-06-13,-585.0,-0.00051834
2025-06-13,-570.0,-0.0001729
2025-06-13,1012.0,0.00106207
2025-06-13,612.5,0.00056545
2025-06-13,984.0,0.00055292
2025-06-13,924.5,0.00049523
2025-06-17,-567.0,-0.00048088
2025-06-17,-577.5,-0.00024009
2025-06-17,-567.0,-0.0004804
2025-06-17,923.0,0.00014865
2025-06-17,639.0,0.00010284
2025-06-17,577.5,0.00039998
2025-06-17,-562.5,-0.00028565
2025-06-17,-540.0,-0.00013711
2025-06-17,2075.0,0.00094923
2025-06-17,-552.0,-0.00105157
2025-06-17,582.0,0.00110898
2025-06-17,-504.0,-0.00095957
2025-06-17,-575.0,-0.00052576
2025-06-17,740.0,0.00042296
2025-06-17,568.0,0.00081141
2025-06-17,-202.5,-0.00017136
2025-06-18,-570.0,-0.0001725
2025-06-18,621.0,0.00062083
2025-06-18,709.5,0.00037895
2025-06-18,540.0,0.00137727
2025-06-23,-558.0,-0.00020591
2025-06-23,-663.0,-0.00089146
2025-06-23,28.5,0.00021659
2025-06-24,-580.0,-0.00064991
2025-06-25,-528.0,-0.00097583
